<title>有懷</title>,<text>缺 花甎生碧苔。牀頭酒甕沒浮埃。自憐多病人來絶。不是華筵懶自開。</text>
<title>水仙花</title>,<text>淡粧蕭灑水心明。月下圓簪墮翠瓊。國色天然誰得似。可憐神女玉精英。其二亭亭獨立倚荷裳。皓月多情送夜凉。天與幽人同臭味。朝朝相對曲池傍。</text>
<title>昭君出塞圖</title>,<text>一辭金闕向王庭。天地無情莫我聽。千古沙塲埋玉骨。秖今孤塚草長靑。</text>
<title>博浪沙</title>,<text>上黨孤臣忠憤高。沙中黃屋一椎搖。當年雖免轀輬載。虎視精魂半已銷。</text>
<title>陳平章席上。題琵琶亭。</title>,<text>霹靂遺材不失天。至音留得鳳凰絃。平章宅裏聞哀怨。恰似當時汾浦船。</text>
<title>赤壁</title>,<text>孰是龍挐孰虎耽。令人追憶鵲飛南。周曹爭戰蘇仙賦。千古奇蹤數此三。</text>
<title>絶句</title>,<text>睡正濃時竹簟凉。雙飛乳鷰拂華堂。參差水荇含風輭。繚亂松花落地香。</text>
<title>題祈眞人異香卷</title>,<text>幾乘笙鶴過緱山。來自飄然去自閒。靜坐每尋香在處。天書一部置牀看。</text>
<title>移官淮東。別杭州。</title>,<text>回望那堪碧草新。棲棲東邁宦遊身。春風自是多情態。相送飛花過別津。其二去故元非厭就新。銅符均是寵吾身。如何回首幷州日。別恨深於楊子津。</text>
<title>同晉卿北山紀遊</title>,<text>東門曾見種苽留。北岳今看逐兔遊。麟閣題名眞細事。割鮮野食勝封矦。</text>
<title>長門怨</title>,<text>河鼓雲孫莫怨離。年年七夕一相隨。蓬萊咫尺無消息。金鎖重開在幾時。</text>
<title>魯郊</title>,<text>鄒魯多賢禮義閑。當時列國仰龜山。杏壇遺澤尋何處。化雨仁風泗水間。</text>
<title>吳王夜宴圖</title>,<text>姑蘇歌舞夜通晨。長樂佳人錦瑟春。宿醉未醒風雨至。當時胥墓檟成薪。</text>
<title>馬嵬驛</title>,<text>馬嵬驛路掛空坡。駐馬當時恨幾何。還重六軍輕一女。風流天子計猶多。</text>
<title>懷彥肅</title>,<text>南園蝴蝶迷芳草。遍倚湖山處處樓。千里暮雲相憶夜。一輪明月在吳州。</text>
<title>小橋</title>,<text>衣帶猶餘羅襪香。溪橋空斷別離腸。江城梅落無消息。獨立踟躕倚綠楊。</text>
<title>淸池</title>,<text>江上烟花千萬枝。東風三月豔陽時。小軒樽酒間碁博。春雨紛紛靑草池。</text>
<title>過餘杭故內廢址</title>,<text>荷花桂子繁華地。麥穗離離幾度春。飛鳥去來山色裏。空留風景付行人。</text>
<title>春遊</title>,<text>靑山回轉水環圍。天朗風和可裌衣。攜手冠童行野外。早紅飛盡晩紅飛。</text>
<title>中秋憶家</title>,<text>秋夜漫漫夢未圓。焇香一炷篆寒烟。遙知江上今宵月。留照松窓似昔年。</text>
<title>題宋高宗劉妃圖</title>,<text>十里淸渠蔭綠槐。行宮歌舞此中開。荷花妃子憐相似。不省秋風入汴臺。</text>
<title>題畫蘭</title>,<text>林深山暝帶斜晡。濃翠濛濛水墨糊。靑葉紫莖雖得畫。幽香雅趣未應圖。</text>
<title>題墨菊</title>,<text>墨子悲絲爲喪眞。胡令黃菊換形神。箇中自有馨香臭。不學緇塵滿面人。</text>
<title>題紅梅</title>,<text>竹籬深護白雲家。別有馨香紅粉花。恰似佳人含宿醉。牕前流水影橫斜。</text>
<title>吟人</title>,<text>危樓百尺照江干。金鴨香焇火未殘。吟倚畫闌仍命酌。却嫌風色姤花寒。</text>
<title>過廬山太平宮</title>,<text>松桂林中不起塵。金砂丹竈住長春。琳宮日月閒無事。惟有雲窓說法人。</text>
<title>憶秋浦</title>,<text>昔年曾共水雲棲。此日飄零意慘悽。千里相思江上夜。心隨落月下天西。其二蒼松翠竹本孤高。虐雪饕風更見操。命道窮來應自怨。夕陽江畔賦離騷。</text>
<title>次半月倅韻</title>,<text>南湖十月動寒凉。斗覺閒中節序忙。書史滿牀看未遍。藥爐無賴舊痾長。</text>
